Row (Letter),Number,Lefty (0 or 1),Aisle (0 or 1),Front (0 or 1)
A,4,0,0,1
A,2,0,1,1
A,101,0,1,1
A,102,0,0,1
A,103,0,0,1
A,104,0,0,1
A,105,0,0,1
A,106,0,0,1
A,107,0,0,1
A,108,0,0,1
A,109,0,0,1
A,110,0,0,1
A,111,0,0,1
A,112,0,0,1
A,113,0,0,1
A,114,1,1,1
A,1,0,1,1
A,3,0,0,1
B,14,0,0,0
B,12,0,0,0
B,10,0,0,0
B,8,0,0,0
B,6,0,0,0
B,4,0,0,0
B,2,0,1,0
B,101,0,1,0
B,102,0,0,0
B,103,0,0,0
B,104,0,0,0
B,105,0,0,0
B,106,0,0,0
B,107,0,0,0
B,108,0,0,0
B,109,0,0,0
B,110,0,0,0
B,111,0,0,0
B,112,0,0,0
B,113,0,0,0
B,114,1,1,0
B,1,0,1,0
B,3,0,0,0
B,5,0,0,0
B,7,0,0,0
B,9,0,0,0
B,11,0,0,0
B,13,0,0,0
C,14,0,0,0
C,12,0,0,0
C,10,0,0,0
C,8,0,0,0
C,6,0,0,0
C,4,0,0,0
C,2,0,1,0
C,101,0,1,0
C,102,0,0,0
C,103,0,0,0
C,104,0,0,0
C,105,0,0,0
C,106,0,0,0
C,107,0,0,0
C,108,0,0,0
C,109,0,0,0
C,110,0,0,0
C,111,0,0,0
C,112,0,0,0
C,113,0,0,0
C,114,1,1,0
C,1,0,1,0
C,3,0,0,0
C,5,0,0,0
C,7,0,0,0
C,9,0,0,0
C,11,0,0,0
C,13,0,0,0
D,14,0,0,0
D,12,0,0,0
D,10,0,0,0
D,8,0,0,0
D,6,0,0,0
D,4,0,0,0
D,2,0,1,0
D,101,0,1,0
D,102,0,0,0
D,103,0,0,0
D,104,0,0,0
D,105,0,0,0
D,106,0,0,0
D,107,0,0,0
D,108,0,0,0
D,109,0,0,0
D,110,0,0,0
D,111,0,0,0
D,112,0,0,0
D,113,0,0,0
D,114,1,1,0
D,1,0,1,0
D,3,0,0,0
D,5,0,0,0
D,7,0,0,0
D,9,0,0,0
D,11,0,0,0
D,13,0,0,0
E,14,0,0,0
E,12,0,0,0
E,10,0,0,0
E,8,0,0,0
E,6,0,0,0
E,4,0,0,0
E,2,0,1,0
E,101,0,1,0
E,102,0,0,0
E,103,0,0,0
E,104,0,0,0
E,105,0,0,0
E,106,0,0,0
E,107,0,0,0
E,108,0,0,0
E,109,0,0,0
E,110,0,0,0
E,111,0,0,0
E,112,0,0,0
E,113,0,0,0
E,114,1,1,0
E,1,0,1,0
E,3,0,0,0
E,5,0,0,0
E,7,0,0,0
E,9,0,0,0
E,11,0,0,0
E,13,0,0,0
F,14,0,0,0
F,12,0,0,0
F,10,0,0,0
F,8,0,0,0
F,6,0,0,0
F,4,0,0,0
F,2,0,1,0
F,101,0,1,0
F,102,0,0,0
F,103,0,0,0
F,104,0,0,0
F,105,0,0,0
F,106,0,0,0
F,107,0,0,0
F,108,0,0,0
F,109,0,0,0
F,110,0,0,0
F,111,0,0,0
F,112,0,0,0
F,113,0,0,0
F,114,1,1,0
F,1,0,1,0
F,3,0,0,0
F,5,0,0,0
F,7,0,0,0
F,9,0,0,0
F,11,0,0,0
F,13,0,0,0
G,14,0,0,0
G,12,0,0,0
G,10,0,0,0
G,8,0,0,0
G,6,0,0,0
G,4,0,0,0
G,2,0,1,0
G,101,0,1,0
G,102,0,0,0
G,103,0,0,0
G,104,0,0,0
G,105,0,0,0
G,106,0,0,0
G,107,0,0,0
G,108,0,0,0
G,109,0,0,0
G,110,0,0,0
G,111,0,0,0
G,112,0,0,0
G,113,0,0,0
G,114,1,1,0
G,1,0,1,0
G,3,0,0,0
G,5,0,0,0
G,7,0,0,0
G,9,0,0,0
G,11,0,0,0
G,13,0,0,0
H,14,0,0,0
H,12,0,0,0
H,10,0,0,0
H,8,0,0,0
H,6,0,0,0
H,4,0,0,0
H,2,0,1,0
H,101,0,1,0
H,102,0,0,0
H,103,0,0,0
H,104,0,0,0
H,105,0,0,0
H,106,0,0,0
H,107,0,0,0
H,108,0,0,0
H,109,0,0,0
H,110,0,0,0
H,111,0,0,0
H,112,0,0,0
H,113,0,0,0
H,114,1,1,0
H,1,0,1,0
H,3,0,0,0
H,5,0,0,0
H,7,0,0,0
H,9,0,0,0
H,11,0,0,0
H,13,0,0,0
J,14,0,0,0
J,12,0,0,0
J,10,0,0,0
J,8,0,0,0
J,6,0,0,0
J,4,0,0,0
J,2,0,1,0
J,101,0,1,0
J,102,0,0,0
J,103,0,0,0
J,104,0,0,0
J,105,0,0,0
J,106,0,0,0
J,107,0,0,0
J,108,0,0,0
J,109,0,0,0
J,110,0,0,0
J,111,0,0,0
J,112,0,0,0
J,113,0,0,0
J,114,1,1,0
J,1,0,1,0
J,3,0,0,0
J,5,0,0,0
J,7,0,0,0
J,9,0,0,0
J,11,0,0,0
J,13,0,0,0
K,14,0,0,0
K,12,0,0,0
K,10,0,0,0
K,8,0,0,0
K,6,0,0,0
K,4,0,0,0
K,2,0,1,0
K,101,0,1,0
K,102,0,0,0
K,103,0,0,0
K,104,0,0,0
K,105,0,0,0
K,106,0,0,0
K,107,0,0,0
K,108,0,0,0
K,109,0,0,0
K,110,0,0,0
K,111,0,0,0
K,112,0,0,0
K,113,0,0,0
K,114,1,1,0
K,1,0,1,0
K,3,0,0,0
K,5,0,0,0
K,7,0,0,0
K,9,0,0,0
K,11,0,0,0
K,13,0,0,0
L,14,0,0,0
L,12,0,0,0
L,10,0,0,0
L,8,0,0,0
L,6,0,0,0
L,4,0,0,0
L,2,0,1,0
